GeneID,Symbol,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession
1,A1BG,58346805,58353498
2,A2M,9067707,9116228
3,A2MP1,9228532,9234206
9,NAT1,18170418,18223688
10,NAT2,18386584,18401218
11,NATP,18369909,18371877
12,SERPINA3,94612376,94624052
13,AADAC,151814007,151828487
14,AAMP,218264126,218270208
15,AANAT,76453350,76470796
16,AARS,70252294,70289508
18,ABAT,8674586,8784574
19,ABCA1,104781001,104928245
20,ABCA2,137007233,137028921
21,ABCA3,2275877,2340745
22,ABCB7,75053279,75156339
23,ABCF1,30571392,30591531
23,ABCF1,2051114,2071249
23,ABCF1,1827219,1847358
23,ABCF1,1881621,1901760
23,ABCF1,1915438,1935577
23,ABCF1,1826479,1846614
23,ABCF1,1872149,1892287
24,ABCA4,93992836,94121148
25,ABL1,130713880,130887674
26,AOC1,150824874,150861290
27,ABL2,179099326,179229692
28,ABO,133255175,133275213
28,ABO,81268,101307
29,ABR,1003517,1229711
29,ABR,42764,231793
29,ABR,42764,153204
30,ACAA1,38122709,38137241
31,ACACA,37084991,37406821
31,ACACA,1320991,1645966
32,ACACB,109112665,109268225
33,ACADL,210187989,210225490
34,ACADM,75724346,75763678
35,ACADS,120725737,120740007
36,ACADSB,123008912,123058289
37,ACADVL,7217124,7225266
38,ACAT1,108116704,108148821
39,ACAT2,159761956,159779111
40,ASIC2,33013086,34156805
41,ASIC1,50057636,50083621
43,ACHE,100889993,100896132
47,ACLY,41866915,41930541
48,ACO1,32384602,32450835
49,ACR,50738223,50745298
49,ACR,74340,81409
50,ACO2,41468755,41528988
51,ACOX1,75941506,75979433
52,ACP1,264868,278282
53,ACP2,47239301,47248846
54,ACP5,11574659,11579007
55,ACPP,132317366,132368764
56,ACRV1,125672333,125680897
58,ACTA1,229431244,229434095
59,ACTA2,88935073,88991396
60,ACTB,5527145,5530708
62,ACTBP2,77784800,77786596
63,ACTBP3,59693045,59693472
64,ACTBP4,131658439,131660198
66,ACTBP6,84948508,84950267
67,ACTBP7,43988473,43990264
68,ACTBP8,88275294,88277073
69,ACTBP9,62441923,62443714
70,ACTC1,34788095,34795725
71,ACTG1,81509970,81512865
72,ACTG2,73892965,73919652
73,ACTG1P1,139493739,139495681
74,ACTG1P2,17756196,17758297
75,ACTG1P3,1160508,1162096
81,ACTN4,38647615,38730531
81,ACTN4,57251,140167
82,ACTG1P9,46204911,46206560
83,ACTG1P10,53141687,53143983
86,ACTL6A,179562879,179588404
87,ACTN1,68874122,68979365
88,ACTN2,236686453,236764630
89,ACTN3,66546394,66563328
90,ACVR1,157736445,157875895
91,ACVR1B,51951666,51997078
92,ACVR2A,147844516,147930826
93,ACVR2B,38454298,38493141
94,ACVRL1,51906912,51923360
95,ACY1,51983283,51989201
97,ACYP1,75053220,75069482
98,ACYP2,53970837,54305299
100,ADA,44619518,44651757
101,ADAM8,133262415,133276902
102,ADAM10,58595203,58749977
